"sampleID","geo_loc_name","lat_lon"
"20_soil-1_A1","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_A2","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_A3","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_A4","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_A5","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_B1","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_B2","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_B3","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_B4","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_B5","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_C1","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_C2","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_C3","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_C4","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_C5","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_D1","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_D2","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_D3","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_D4","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_D5","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_E1","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_E2","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_E3","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_E4","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_E5","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_F1","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_F2","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_F3","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_F4","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_F5","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_G1","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_G2","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_G3","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_G4","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_G5","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_H1","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_H2","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_H3","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_H4","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_H5","USA: SD","44.3686259 N 96.7890523 W"
"20_soil-1_A10","USA: CO","39.186944 N 102.271667 W"
"20_soil-1_A6","USA: CO","39.186944 N 102.271667 W"
"20_soil-1_A7","USA: CO","39.186944 N 102.271667 W"
"20_soil-1_A8","USA: CO","39.186944 N 102.271667 W"
"20_soil-1_A9","USA: CO","39.186944 N 102.271667 W"
"20_soil-1_B10","USA: CO","39.186944 N 102.271667 W"
"20_soil-1_B6","USA: CO","39.186944 N 102.271667 W"
"20_soil-1_B7","USA: CO","39.186944 N 102.271667 W"
"20_soil-1_B8","USA: CO","39.186944 N 102.271667 W"
"20_soil-1_B9","USA: CO","39.186944 N 102.271667 W"
"20_soil-1_C10","USA: CO","39.186944 N 102.271667 W"
"20_soil-1_C6","USA: CO","39.186944 N 102.271667 W"
"20_soil-1_C7","USA: CO","39.186944 N 102.271667 W"
